dataset,seed,task,family,model,variant,n_samples,n_features,status,error_message,benchmark_mode,base_variant,selected_config_id,selected_lr,selection_metric,selection_mode,selection_score,selected_epoch,candidate_config_count,candidate_lrs,tuning_budget_type,epoch,train_loss,train_metric,val_metric,grad_norm,grad_norm_max,train_val_gap,prediction_mean,prediction_std,has_gate,gate_mean,gate_median,gate_sparsity,best_epoch,best_val_metric,final_val_metric,final_vs_best,early_stopped,effective_training_status
synthetic_axis_aligned,42,classification,neural_baseline,FT-Transformer-style,local_ft_transformer,1024,20,ok,,tuned_tst_benchmark,,,,,,,,,,,11,0.11711641401052475,0.9625407166123778,0.9463414634146341,1.755845286036213,2.9034200655947857,0.016199253197743735,0.06938400119543076,0.14055368304252625,False,,,,14,0.9951219512195122,0.9951219512195122,0.0,False,underfit
synthetic_axis_aligned,42,classification,neural_baseline,FT-Transformer-style,local_ft_transformer,1024,20,ok,,tuned_tst_benchmark,,,,,,,,,,,12,0.10190673768520356,0.9788273615635179,0.9804878048780488,3.353375472578498,4.87900047662753,-0.0016604433145308573,0.07895736396312714,0.19471485912799835,False,,,,14,0.9951219512195122,0.9951219512195122,0.0,False,underfit
synthetic_axis_aligned,42,classification,neural_baseline,FT-Transformer-style,local_ft_transformer,1024,20,ok,,tuned_tst_benchmark,,,,,,,,,,,13,0.09000296592712402,0.9820846905537459,0.9902439024390244,5.9363709310079615,9.879779960525328,-0.008159211885278461,0.0871802568435669,0.2284417748451233,False,,,,14,0.9951219512195122,0.9951219512195122,0.0,False,underfit
synthetic_axis_aligned,42,classification,neural_baseline,FT-Transformer-style,local_ft_transformer,1024,20,ok,,tuned_tst_benchmark,,,,,,,,,,,14,0.09519292041659355,0.988599348534202,0.9951219512195122,10.511458431887515,25.865976815473047,-0.0065226026853102415,0.10750986635684967,0.2537122964859009,False,,,,14,0.9951219512195122,0.9951219512195122,0.0,False,underfit
synthetic_axis_aligned,42,classification,neural_baseline,FT-Transformer-style,local_ft_transformer,1024,20,ok,,tuned_tst_benchmark,,,,,,,,,,,15,0.0877146765589714,0.9837133550488599,0.9560975609756097,8.223850729704443,14.554222642711997,0.02761579407325021,0.13514374196529388,0.29044419527053833,False,,,,14,0.9951219512195122,0.9951219512195122,0.0,False,underfit
synthetic_axis_aligned,42,classification,neural_baseline,FT-Transformer-style,local_ft_transformer,1024,20,ok,,tuned_tst_benchmark,,,,,,,,,,,16,0.0655542254447937,0.988599348534202,0.9804878048780488,4.6063308110445496,7.659397997523565,0.008111543656153186,0.07938513159751892,0.22353027760982513,False,,,,14,0.9951219512195122,0.9951219512195122,0.0,False,underfit
synthetic_axis_aligned,42,classification,neural_baseline,FT-Transformer-style,local_ft_transformer,1024,20,ok,,tuned_tst_benchmark,,,,,,,,,,,17,0.06095904745161533,0.9739413680781759,0.9560975609756097,5.113343316432107,10.95806609460409,0.017843807102566167,0.14294761419296265,0.3066927492618561,False,,,,14,0.9951219512195122,0.9951219512195122,0.0,False,underfit
synthetic_axis_aligned,42,classification,neural_baseline,FT-Transformer-style,local_ft_transformer,1024,20,ok,,tuned_tst_benchmark,,,,,,,,,,,18,0.06677089184522629,0.9788273615635179,0.975609756097561,8.303799747265376,13.569674929401469,0.003217605465956952,0.0672612264752388,0.20551623404026031,False,,,,14,0.9951219512195122,0.9951219512195122,0.0,False,underfit
synthetic_axis_aligned,42,classification,neural_baseline,FT-Transformer-style,local_ft_transformer,1024,20,ok,,tuned_tst_benchmark,,,,,,,,,,,19,0.05460918582975864,0.9837133550488599,0.9707317073170731,5.572629295712398,12.383615487610024,0.012981647731786783,0.12249908596277237,0.29297393560409546,False,,,,14,0.9951219512195122,0.9951219512195122,0.0,False,underfit
synthetic_axis_aligned,42,classification,neural_baseline,FT-Transformer-style,local_ft_transformer,1024,20,ok,,tuned_tst_benchmark,,,,,,,,,,,20,0.04956211745738983,0.99185667752443,0.9951219512195122,2.7306963410776617,3.8712330029035553,-0.003265273695082227,0.08878199756145477,0.2529417872428894,False,,,,14,0.9951219512195122,0.9951219512195122,0.0,False,underfit
