model,dataset,seed,task,family,variant,status,metric,score,fit_seconds,predict_seconds,n_samples,n_features,artifact_path,error_message,notes
Gradient Boosting,synthetic_rotated,44,classification,baseline,gradient_boosting,ok,accuracy,0.960976,0.2184,0.0021,1024,20,,,
MLP,synthetic_rotated,44,classification,baseline,mlp,ok,accuracy,0.941463,0.057,0.0016,1024,20,,,
LightGBM,synthetic_rotated,44,classification,baseline,lightgbm,ok,accuracy,0.956098,0.0639,0.0044,1024,20,,,
CatBoost,synthetic_rotated,44,classification,baseline,catboost,ok,accuracy,0.965854,1.4734,0.0031,1024,20,,,
TST-v0,synthetic_rotated,44,classification,ablation,TST-v0,ok,accuracy,0.614634,6.0144,0.0249,1024,20,,,
TST-v1-Gate,synthetic_rotated,44,classification,ablation,TST-v1-Gate,ok,accuracy,0.614634,7.1422,0.0273,1024,20,,,
TST-v2-GateFourier,synthetic_rotated,44,classification,ablation,TST-v2-GateFourier,ok,accuracy,0.614634,6.2364,0.026,1024,20,,,
TST-v3-MoE,synthetic_rotated,44,classification,ablation,TST-v3-MoE,ok,accuracy,0.614634,7.0484,0.0249,1024,20,,,
Linear/Ridge,synthetic_regime,44,regression,baseline,linear,ok,rmse,0.478799,0.0051,0.001,1024,20,,,
Random Forest,synthetic_regime,44,regression,baseline,random_forest,ok,rmse,0.268013,0.1777,0.004,1024,20,,,
Gradient Boosting,synthetic_regime,44,regression,baseline,gradient_boosting,ok,rmse,0.300754,0.2084,0.0017,1024,20,,,
MLP,synthetic_regime,44,regression,baseline,mlp,ok,rmse,0.38228,0.0557,0.0015,1024,20,,,
LightGBM,synthetic_regime,44,regression,baseline,lightgbm,ok,rmse,0.248173,0.0487,0.0035,1024,20,,,
CatBoost,synthetic_regime,44,regression,baseline,catboost,ok,rmse,0.18249,1.1861,0.0031,1024,20,,,
TST-v0,synthetic_regime,44,regression,ablation,TST-v0,ok,rmse,0.604768,8.4585,0.0204,1024,20,,,
TST-v1-Gate,synthetic_regime,44,regression,ablation,TST-v1-Gate,ok,rmse,0.604945,8.6047,0.0206,1024,20,,,
TST-v2-GateFourier,synthetic_regime,44,regression,ablation,TST-v2-GateFourier,ok,rmse,0.605299,6.7653,0.0266,1024,20,,,
TST-v3-MoE,synthetic_regime,44,regression,ablation,TST-v3-MoE,ok,rmse,0.605254,8.5615,0.0234,1024,20,,,
Linear/Ridge,synthetic_sparse_high_order,44,classification,baseline,linear,ok,accuracy,0.980488,0.0059,0.0011,1024,50,,,
Random Forest,synthetic_sparse_high_order,44,classification,baseline,random_forest,ok,accuracy,0.980488,0.0666,0.0033,1024,50,,,
Gradient Boosting,synthetic_sparse_high_order,44,classification,baseline,gradient_boosting,ok,accuracy,0.970732,0.5077,0.0017,1024,50,,,
MLP,synthetic_sparse_high_order,44,classification,baseline,mlp,ok,accuracy,0.980488,0.0635,0.0016,1024,50,,,
LightGBM,synthetic_sparse_high_order,44,classification,baseline,lightgbm,ok,accuracy,0.995122,0.0848,0.0028,1024,50,,,
CatBoost,synthetic_sparse_high_order,44,classification,baseline,catboost,ok,accuracy,0.980488,3.0733,0.0053,1024,50,,,
TST-v0,synthetic_sparse_high_order,44,classification,ablation,TST-v0,ok,accuracy,0.980488,17.372,0.052,1024,50,,,
TST-v1-Gate,synthetic_sparse_high_order,44,classification,ablation,TST-v1-Gate,ok,accuracy,0.980488,15.8079,0.0531,1024,50,,,
TST-v2-GateFourier,synthetic_sparse_high_order,44,classification,ablation,TST-v2-GateFourier,ok,accuracy,0.980488,16.5252,0.0581,1024,50,,,
TST-v3-MoE,synthetic_sparse_high_order,44,classification,ablation,TST-v3-MoE,ok,accuracy,0.980488,17.9566,0.0799,1024,50,,,
